"csv_id","title","uid","field_short_name","field_parent_organisation","field_country","field_url","field_organisation_type","field_description","field_contact_person","field_email","field_phone","field_street_name","field_house_number","field_zip","field_city","field_region"
"1","ACTIA ITALIA Srl","288","","","IT","www.actiaitalia.com","49#19","Management of electro-hydraulic systems - Safety controllers - Onboard tools and display - Isobus Systems - Solutions for electronic diagnosis – Telematics","Davide Loy","info@actiaitalia.com","Tel. (+39) 011.340.2711 Fax. (+39) 011.347.0468","C.so Unione Sovietica, 612/15/B","","10135","TORINO","PIEMONTE"
"2","AMA SpA","288","","","IT","www.ama.it","19#18","Electronic Accessories - Accessories for agricultural trailers - Accessories for earth-moving machinery - Hydraulic equipment – Leaves vacuum machines – Three-point hitch for tractors , front and rear - Tow hooks - Cabs for tractors - Cabs for earthmoving machines - Cabling - CAN BUS electronic systems – Components for crop protection machines - Hydraulic components  and cylinders - Analog and digital dashboards - Discs for pneumatic seed drills – Graphic displays – Quick coupling devices for three-point hitch - Electronic control and automation systems for agricultural machinery and earth-moving machinery – Electronic monitoring and control devices for mechanical weed control equipment – Tow bars - CV joints - Multipliers - Hydraulic motors – Auger-drilling machines – Rotary tillers - Spare parts for several agricultural machines - Spare parts and kits for chainsaws - Spare parts for gardening machinery - Spare parts for tractors - Hydraulic Pumps – Electronic diagnostic systems - Parts of steering systems – Power steering units - Cardan shafts - Safety devices for cardan shafts - Universal Joints – Three-point hitch- Components of three-point hitch- Third points and hydraulically adjustable lift rods- Seats – Steering wheels - Lighting and light-signalling devices – Spare parts and accessories for agricultural machinery – Gardening rotary tillers - Chainsaws - Chainsaw sharpeners - Brush Cutters - Snowploughs - Trimmer – Lawn mowers: walk behind and self-propelled, with internal combustion engine – Ride-on lawn mowers - Small gardening tractors - Log splitters – Operating instruments - Heads for brush cutters - Hedge trimmers with internal combustion engine - Tubes for hydraulic system cylinders - Plowshares – Hoes","Luciano Malavolti
Alessandro Malavolti","ama@ama.it","Tel. (+39) 0522.636.911 Fax (+39) 0522.695.753","Via Puccini, n.28","","42018","SAN MARTINO IN RIO (RE)","EMILIA-ROMAGNA"
"3","ARAG Srl","288","","","IT","www.aragnet.com","49#19","Electronic Accessories - Irrigation systems accessories – Spraying accessories - Mixers for crop protection machines - Reels – Components for crop protection machines - Components for tanks - Electronic liter-counters - Electronic monitoring and control devices for crop protection machines- Electronic control devices for agricultural machinery – Cleaning equipment for pesticide containers - Proportional valves- Filters for irrigation systems - Filters for crop protection machines - Drippers - Control units for sprayers - Components for crop protection and sowing machines - Fittings - Fittings for irrigation - Sensors - Control Toolbox for crop protection machines - GPS systems for crop protection - Nozzles for sprayers - Valves – Ball valves - Safety valves","","export@aragnet.com","Tel. (+39) 0522.622.011 Fax (+39) 0522.628.944","Via Palladio, n.5/A","","42048","RUBIERA (RE","EMILIA-ROMAGNA"
"4","C.O.B.O. SpA divisione 3B6","288","","","IT","www.3b6.it","49#19#18","Electronic control and automation devices for agricultural machinery – Self-levelling equipment for hillside machines – Automatic guidance - Weighing systems for wheel loaders and excavators - Load/movement restraint systems for lifting machines - Electronic control devices  for digging, drilling, earthmoving and road construction machinery","","3b6@3b6.it","Tel. (+39) 0331.92.861 Fax (+39) 0331.972.160","Via Sivo, n.74","","28053","CASTELLETTO TICINO (NO)","PIEMONTE"
"5","COMER INDUSTRIES SpA","288","","","IT","www.comerindustries.com","19","Reduction units - Multipliers – Gearboxes – Cardan shafts – Clutches – CV joints – Safety devices for cardan shafts – Planetary drivers – Rigid axles – Steering axles – Orbital motors – Axial pistons pumps and motors – Control systems for hydrostatic transmissions – Electric driving wheels – Electric and hydraulic steering gears","","info@comerindustries.com","Tel. (+39) 0522.974.111 Fax (+39) 0522.973.249","Via Magellano, n.27","","42046","REGGIOLO (RE)","EMILIA-ROMAGNA"
"6","INFOMOBILITY Srl","288","","","IT","www.topconinfomobility.com/","18#19","Electronic control and automation devices for agricultural and earthmoving machinery","","info@destura.it","Tel. (+39) 0535.40.818 Fax (+39) 0535.55044","Via A. Galavotti, n.64","","41033","Concordia sulla Secchia (MO)","EMILIA-ROMAGNA"
"7","MC ELETTRONICA Srl","288","","","IT","www.mcelettronica.it","19","Operating instruments – Control devices for sprayers – Control tools for crop protection machines - Electronic control and adjusting devices – Control tools for seed drillers – Radio remote controls – Cabling – Sensors -  Analog and digital dashboards – Electronic central units CAN BUS – Graphic displays - Virtual terminal ISOBUS","","info@mcelettronica.it ","Tel. (+39)0425.754.713 Fax (+39)0425.741.130","Via Enrico Fermi, 450/486","","45024","FIESSO UMBERTIANO (RO)","VENETO"
"8","MENBER'S SpA","288","","","IT","www.menbers.it","19","Electrical connectors – Manual operated battery cut-off switches ","","menbers@menbers.it ","Tel. (+39)0442.606.200 Fax (+39) 0442.23.711","Via Ghiacciaia, 1","","37045","LEGNAGO (VR)","VENETO"
"9","RE:Lab Srl","288","","","IT","www.re-lab.it","49#19","IT programmes for vehicles management","Stefano Marzani","stefano.marzani@re-lab.it
info@re-lab.it","Tel. (+39)0522.522.663 Fax (+39)0522.522.164","Via Tamburini, 5","","42122","REGGIO EMILIA","EMILIA-ROMAGNA"
"10","SALVARANI Srl","288","","","IT","www.salvarani.it","49#19","Foam markers - Electronic control and adjusting devices for sprayers and weeding machines – Accessories for weed control machines – Nozzles  - Weather condition control units - GPS systems for crop protection – Different electric devices – Test benches for sprayers – Compressors for crop protection machines","","info@salvarani.it","Tel. (+39)0522.969.177 Fax (+39)0522.960.612","Via M.Buonarroti, n.2","","42028","POVIGLIO (RE)","EMILIA-ROMAGNA"
